filename, language, Properties, Markdown, JSON, HTML, SCSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\board\board.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\board\board.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\card\card.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\card\card.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\create-query-form\create-query-form.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 83, 0, 0, 7, 90
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\create-query-form\create-query-form.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\drag-and-drop\drag-and-drop.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 110, 0, 0, 17, 127
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\drag-and-drop\drag-and-drop.scss, SCSS, 0, 0, 0, 0, 39, 0, 0, 0, 2, 5, 46
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\graph-visualization-settings\graph-visualization-settings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 82, 0, 2, 7, 91
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\graph-visualization-settings\graph-visualization-settings.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\singlestat-visualization-settings\singlestat-visualization-settings.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-components\visualization-settings\singlestat-visualization-settings\singlestat-visualization-settings.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-metrics\all-metrics.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 76, 0, 2, 9, 87
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-metrics\all-metrics.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-panels\all-panels.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 63, 0, 0, 9, 72
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\all-panels\all-panels.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboard-creation\dashboard-creation.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 33, 0, 11, 4, 48
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboard-creation\dashboard-creation.scss, SCSS, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboards\dashboards.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 63, 0, 0, 11, 74
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\dashboards\dashboards.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-creation\database-creation.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 67, 0, 0, 7, 74
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\my-pages\database-creation\database-creation.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
